date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:03	35007/35007	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:03%20GMT	https://mado.az/menu?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menufef7.html	(from )
23:02:03	31427/31427	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jun%202023%2019:02:03%20GMT	https://mado.az/robots.txt		(from )
23:02:08	203024/203024	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Mar%202020%2016:40:42%20GMT	https://mado.az/style.css?v=6	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/style1bce.css	(from https://mado.az/menu?hl=en)
23:02:09	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jan%202020%2021:03:43%20GMT	https://mado.az/js/jquery-3.3.1.min.js?v=6	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/js/jquery-3.3.1.min1bce.js	(from https://mado.az/menu?hl=en)
23:02:10	10451/10451	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2015:44:23%20GMT	https://mado.az/favicon/apple-touch-icon.png	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/favicon/apple-touch-icon.png	(from https://mado.az/menu?hl=en)
23:02:11	124142/124142	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:10%20GMT	https://mado.az/	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/index.html	(from https://mado.az/menu?hl=en)
23:02:13	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/maksi/Desktop/JavaScript/madocopy/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://mado.az/menu?hl=en)
23:02:13	648237/648237	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2015%20Mar%202020%2014:17:33%20GMT	https://mado.az/js/main.js?v=6	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/js/main1bce.js	(from https://mado.az/menu?hl=en)
23:02:13	1914/1914	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2015:44:23%20GMT	https://mado.az/favicon/favicon-32x32.png	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/favicon/favicon-32x32.png	(from https://mado.az/menu?hl=en)
23:02:13	1264/1264	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Jan%202020%2015:44:23%20GMT	https://mado.az/favicon/favicon-16x16.png	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/favicon/favicon-16x16.png	(from https://mado.az/menu?hl=en)
23:02:13	426/426	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2015:44:24%20GMT	https://mado.az/favicon/site.webmanifest	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/favicon/site.html	(from https://mado.az/menu?hl=en)
23:02:14	5632/5632	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2012%20Jan%202020%2015:44:24%20GMT	https://mado.az/favicon/safari-pinned-tab.svg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/favicon/safari-pinned-tab.svg	(from https://mado.az/menu?hl=en)
23:02:14	71478/71478	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:15%20GMT	https://mado.az/restaurant	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant.html	(from https://mado.az/menu?hl=en)
23:02:15	35815/35815	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:15%20GMT	https://mado.az/menu?hl=az&inpage=30	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu5488.html	(from https://mado.az/menu?hl=en)
23:02:15	37215/37215	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:15%20GMT	https://mado.az/menu?hl=ru&inpage=30	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu5952.html	(from https://mado.az/menu?hl=en)
23:02:15	53629/53629	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:16%20GMT	https://mado.az/menu/iftar-menyusu?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/iftar-menyusufef7.html	(from https://mado.az/menu?hl=en)
23:02:15	59490/59490	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:16%20GMT	https://mado.az/menu/special-menu?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/special-menufef7.html	(from https://mado.az/menu?hl=en)
23:02:16	78286/78286	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:16%20GMT	https://mado.az/menu/yeni?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/yenifef7.html	(from https://mado.az/menu?hl=en)
23:02:16	77918/77918	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:17%20GMT	https://mado.az/menu/meals?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/mealsfef7.html	(from https://mado.az/menu?hl=en)
23:02:16	77810/77810	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:17%20GMT	https://mado.az/menu/sweets?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/sweetsfef7.html	(from https://mado.az/menu?hl=en)
23:02:17	60436/60436	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:17%20GMT	https://mado.az/menu/ice-cream?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/ice-creamfef7.html	(from https://mado.az/menu?hl=en)
23:02:17	67165/67165	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:17%20GMT	https://mado.az/menu/bakery?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/bakeryfef7.html	(from https://mado.az/menu?hl=en)
23:02:17	56223/56223	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:17%20GMT	https://mado.az/menu/biznes-lanch?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/biznes-lanchfef7.html	(from https://mado.az/menu?hl=en)
23:02:17	77569/77569	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:18%20GMT	https://mado.az/menu/drinks?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/drinksfef7.html	(from https://mado.az/menu?hl=en)
23:02:18	40086/40086	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:18%20GMT	https://mado.az/menu/mangal-menu?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/mangal-menufef7.html	(from https://mado.az/menu?hl=en)
23:02:18	71562/71562	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:18%20GMT	https://mado.az/restaurant?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurantfef7.html	(from https://mado.az/menu?hl=en)
23:02:18	42499/42499	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:19%20GMT	https://mado.az/restaurant/mado-fountain-square-41	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-fountain-square-41.html	(from https://mado.az/menu?hl=en)
23:02:19	42400/42400	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:19%20GMT	https://mado.az/restaurant/mado-sabail-18	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-sabail-18.html	(from https://mado.az/menu?hl=en)
23:02:20	40340/40340	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:20%20GMT	https://mado.az/restaurant/mado-28mall-40	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-28mall-40.html	(from https://mado.az/menu?hl=en)
23:02:20	41411/41411	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:20%20GMT	https://mado.az/restaurant/mado-ganjlik-mall-42	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-ganjlik-mall-42.html	(from https://mado.az/menu?hl=en)
23:02:21	39969/39969	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:21%20GMT	https://mado.az/restaurant/mado-narimanov-27	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-narimanov-27.html	(from https://mado.az/menu?hl=en)
23:02:21	38398/38398	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:21%20GMT	https://mado.az/restaurant/mado-ahmedli-603?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-ahmedli-603fef7.html	(from https://mado.az/menu?hl=en)
23:02:21	38882/38882	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:22%20GMT	https://mado.az/mado-azerbaijan?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/mado-azerbaijanfef7.html	(from https://mado.az/menu?hl=en)
23:02:22	46598/46598	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:22%20GMT	https://mado.az/production-mado?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/production-madofef7.html	(from https://mado.az/menu?hl=en)
23:02:22	50705/50705	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:22%20GMT	https://mado.az/catering-mado?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/catering-madofef7.html	(from https://mado.az/menu?hl=en)
23:02:23	55572/55572	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:23%20GMT	https://mado.az/news?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/newsfef7.html	(from https://mado.az/menu?hl=en)
23:02:23	34613/34613	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:23%20GMT	https://mado.az/feedback?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/feedbackfef7.html	(from https://mado.az/menu?hl=en)
23:02:23	36595/36595	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:24%20GMT	https://mado.az/vacancy?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/vacancyfef7.html	(from https://mado.az/menu?hl=en)
23:02:23	4279/4279	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/logo.svg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/logo.svg	(from https://mado.az/menu?hl=en)
23:02:24	96581/96581	---M--	200	added ('OK')	image/jpeg	etag:%226d6e3c05987d443842097059f007162f%22	https://mado.az/pics/384/1000/cat/Menu_page_cover_-_Menyuda_yeniler_1613131095.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/Menu_page_cover_-_Menyuda_yeniler_1613131095.jpg	(from https://mado.az/menu?hl=en)
23:02:24	106064/106064	---M--	200	added ('OK')	image/jpeg	etag:%228f5666439b07b10b23289890e412ae12%22	https://mado.az/pics/384/1000/cat/Menyuda_yeni_10_Quzu_tepsi_1662712978.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/Menyuda_yeni_10_Quzu_tepsi_1662712978.jpg	(from https://mado.az/menu?hl=en)
23:02:25	85569/85569	---M--	200	added ('OK')	image/jpeg	etag:%222174fda9e4ff86f2396bdeb08fb6ca56%22	https://mado.az/pics/384/1000/cat/yemek_1577027750.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/yemek_1577027750.jpg	(from https://mado.az/menu?hl=en)
23:02:25	60837/60837	---M--	200	added ('OK')	image/jpeg	etag:%2247d2e9b34fbbb82009b191d0c67ef042%22	https://mado.az/pics/384/1000/cat/busienss-lunch_1579162818.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/busienss-lunch_1579162818.jpg	(from https://mado.az/menu?hl=en)
23:02:25	70467/70467	---M--	200	added ('OK')	image/jpeg	etag:%2241b9bfc943619592bed3f743679d6b72%22	https://mado.az/pics/384/1000/cat/shirniyyat_1577027833.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/shirniyyat_1577027833.jpg	(from https://mado.az/menu?hl=en)
23:02:25	70753/70753	---M--	200	added ('OK')	image/jpeg	etag:%22efd56b674f9fe1321e95809f92ac7694%22	https://mado.az/pics/384/1000/cat/dondurma_1577027945.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/dondurma_1577027945.jpg	(from https://mado.az/menu?hl=en)
23:02:26	154734/154734	---M--	200	added ('OK')	image/jpeg	etag:%22f89a9c00dba4d1e611b4c592db5933e0%22	https://mado.az/pics/384/1000/cat/firin_1578685123.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/firin_1578685123.jpg	(from https://mado.az/menu?hl=en)
23:02:26	46873/46873	---M--	200	added ('OK')	image/jpeg	etag:%22812a349c59cce1ab717667004faf08af%22	https://mado.az/pics/384/1000/cat/ichkiler_1577027683.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/ichkiler_1577027683.jpg	(from https://mado.az/menu?hl=en)
23:02:26	52465/52465	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:27%20GMT	https://mado.az/menu/ushaq-menyusu?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/ushaq-menyusufef7.html	(from https://mado.az/menu?hl=en)
23:02:26	63225/63225	---M--	200	added ('OK')	image/jpeg	etag:%22c4bb215c31dad53d3f8dbec867242c0a%22	https://mado.az/pics/384/1000/cat/Menyuda_yeni_9_Uaq_menyusu_1623939350.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/Menyuda_yeni_9_Uaq_menyusu_1623939350.jpg	(from https://mado.az/menu?hl=en)
23:02:27	51431/51431	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:27%20GMT	https://mado.az/menu/ozel?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/ozelfef7.html	(from https://mado.az/menu?hl=en)
23:02:27	55033/55033	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:27%20GMT	https://mado.az/menu/desserts-gift?hl=en	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/menu/desserts-giftfef7.html	(from https://mado.az/menu?hl=en)
23:02:27	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Jun%202023%2019:02:27%20GMT	https://mado.az/pics/384/1000/cat/	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/pics/384/1000/cat/index.html	(from https://mado.az/menu?hl=en)
23:02:27	4276/4276	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/logo-white.svg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/logo-white.svg	(from https://mado.az/menu?hl=en)
23:02:28	38392/38392	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:28%20GMT	https://mado.az/restaurant/mado-ahmedli-603	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-ahmedli-603.html	(from https://mado.az/menu?hl=en)
23:02:28	38233/38233	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:28%20GMT	https://mado.az/restaurant/mado-baku-mall-601	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/restaurant/mado-baku-mall-601.html	(from https://mado.az/menu?hl=en)
23:02:28	34613/34613	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202023%2019:02:29%20GMT	https://mado.az/feedback	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/feedback.html	(from https://mado.az/menu?hl=en)
23:02:28	1201/1201	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/img27.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/img27.jpg	(from https://mado.az/menu?hl=en)
23:02:28	1768/1768	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/img28.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/img28.jpg	(from https://mado.az/menu?hl=en)
23:02:29	1272/1272	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/img29.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/img29.jpg	(from https://mado.az/menu?hl=en)
23:02:29	1642/1642	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/img30.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/img30.jpg	(from https://mado.az/menu?hl=en)
23:02:29	1778/1778	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/img31.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/img31.jpg	(from https://mado.az/menu?hl=en)
23:02:29	1874/1874	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/img32.jpg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/img32.jpg	(from https://mado.az/menu?hl=en)
23:02:30	192758/192758	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-solid-900.eot	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-solid-900.eot	(from https://mado.az/style.css?v=6)
23:02:30	192758/192758	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-solid-900.eot?	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-solid-900d41d.eot	(from https://mado.az/style.css?v=6)
23:02:31	75728/75728	---M--	200	added ('OK')	font/woff2	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-solid-900.woff2	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-solid-900.woff2	(from https://mado.az/style.css?v=6)
23:02:31	98384/98384	---M--	200	added ('OK')	font/woff	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-solid-900.woff	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-solid-900.woff	(from https://mado.az/style.css?v=6)
23:02:31	192472/192472	---M--	200	added ('OK')	font/ttf	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-solid-900.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-solid-900.ttf	(from https://mado.az/style.css?v=6)
23:02:32	130906/130906	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Nov%202019%2011:26:12%20GMT	https://mado.az/fonts/fa-brands-400.eot	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-brands-400.eot	(from https://mado.az/style.css?v=6)
23:02:32	130906/130906	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Nov%202019%2011:26:12%20GMT	https://mado.az/fonts/fa-brands-400.eot?	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-brands-400d41d.eot	(from https://mado.az/style.css?v=6)
23:02:32	75336/75336	---M--	200	added ('OK')	font/woff2	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-brands-400.woff2	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-brands-400.woff2	(from https://mado.az/style.css?v=6)
23:02:32	88428/88428	---M--	200	added ('OK')	font/woff	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-brands-400.woff	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-brands-400.woff	(from https://mado.az/style.css?v=6)
23:02:33	847272/847272	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Dec%202019%2009:29:07%20GMT	https://mado.az/fonts/fa-solid-900.svg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-solid-900.svg	(from https://mado.az/style.css?v=6)
23:02:33	130600/130600	---M--	200	added ('OK')	font/ttf	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-brands-400.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-brands-400.ttf	(from https://mado.az/style.css?v=6)
23:02:33	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-regular-400.eot	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-regular-400.eot	(from https://mado.az/style.css?v=6)
23:02:33	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-regular-400.eot?	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-regular-400d41d.eot	(from https://mado.az/style.css?v=6)
23:02:34	13584/13584	---M--	200	added ('OK')	font/woff2	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-regular-400.woff2	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-regular-400.woff2	(from https://mado.az/style.css?v=6)
23:02:34	16804/16804	---M--	200	added ('OK')	font/woff	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-regular-400.woff	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-regular-400.woff	(from https://mado.az/style.css?v=6)
23:02:34	34096/34096	---M--	200	added ('OK')	font/ttf	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/fa-regular-400.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-regular-400.ttf	(from https://mado.az/style.css?v=6)
23:02:34	1720/1720	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/icomoon.eot?9k4wtc	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/icomoonab0f.eot	(from https://mado.az/style.css?v=6)
23:02:34	145255/145255	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Dec%202019%2009:29:07%20GMT	https://mado.az/fonts/fa-regular-400.svg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-regular-400.svg	(from https://mado.az/style.css?v=6)
23:02:35	1556/1556	---M--	200	added ('OK')	font/ttf	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/icomoon.ttf?9k4wtc	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/icomoonab0f.ttf	(from https://mado.az/style.css?v=6)
23:02:35	703999/703999	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Dec%202019%2009:29:07%20GMT	https://mado.az/fonts/fa-brands-400.svg	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/fa-brands-400.svg	(from https://mado.az/style.css?v=6)
23:02:35	1632/1632	---M--	200	added ('OK')	font/woff	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/fonts/icomoon.woff?9k4wtc	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/icomoonab0f.woff	(from https://mado.az/style.css?v=6)
23:02:35	1983/1983	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Dec%202019%2009:29:07%20GMT	https://mado.az/fonts/icomoon.svg?9k4wtc	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/icomoonab0f.svg	(from https://mado.az/style.css?v=6)
23:02:37	647880/647880	---M--	200	added ('OK')	font/ttf	date:Tue,%2003%20Dec%202019%2010:27:13%20GMT	https://mado.az/fonts/Lato-LightItalic.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/Lato-LightItalic.ttf	(from https://mado.az/style.css?v=6)
23:02:37	661592/661592	---M--	200	added ('OK')	font/ttf	date:Tue,%2003%20Dec%202019%2010:27:13%20GMT	https://mado.az/fonts/Lato-Regular.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/Lato-Regular.ttf	(from https://mado.az/style.css?v=6)
23:02:37	632536/632536	---M--	200	added ('OK')	font/ttf	date:Tue,%2003%20Dec%202019%2010:27:13%20GMT	https://mado.az/fonts/Lato-Light.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/Lato-Light.ttf	(from https://mado.az/style.css?v=6)
23:02:37	693228/693228	---M--	200	added ('OK')	font/ttf	date:Tue,%2003%20Dec%202019%2010:27:13%20GMT	https://mado.az/fonts/Lato-Italic.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/Lato-Italic.ttf	(from https://mado.az/style.css?v=6)
23:02:38	683116/683116	---M--	200	added ('OK')	font/ttf	date:Tue,%2003%20Dec%202019%2010:27:12%20GMT	https://mado.az/fonts/Lato-Bold.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/Lato-Bold.ttf	(from https://mado.az/style.css?v=6)
23:02:39	4201/4201	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/pattern02.png	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/pattern02.png	(from https://mado.az/style.css?v=6)
23:02:39	714640/714640	---M--	200	added ('OK')	font/ttf	date:Tue,%2003%20Dec%202019%2010:27:12%20GMT	https://mado.az/fonts/Lato-BoldItalic.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/Lato-BoldItalic.ttf	(from https://mado.az/style.css?v=6)
23:02:39	699/699	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/pattern01.png	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/pattern01.png	(from https://mado.az/style.css?v=6)
23:02:39	4307/4307	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Nov%202019%2011:26:14%20GMT	https://mado.az/images/pattern03.png	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/images/pattern03.png	(from https://mado.az/style.css?v=6)
23:02:39	683884/683884	---M--	200	added ('OK')	font/ttf	date:Tue,%2003%20Dec%202019%2010:27:12%20GMT	https://mado.az/fonts/Lato-BlackItalic.ttf	C:/Users/maksi/Desktop/JavaScript/madocopy/mado.az/fonts/Lato-BlackItalic.ttf	(from https://mado.az/style.css?v=6)
